Word,Level,Theme,Hindi (Devanagari),Telugu (Telugu Script),Chinese (Simplified Hanzi),Spanish (Español),French (Français),German (Deutsch),Arabic (العربية),Japanese (日本語),Russian (Русский),Portuguese (Português),Italian (Italiano),Korean (한국어)
CAT,1,Animals & Pets,बिल्ली,పిల్లి,猫,gato,chat,katze,قطة,猫,кот,gato,gatto,고양이
DOG,1,Animals & Pets,कुत्ता,కుక్క,狗,perro,chien,hund,كلب,犬,собака,cachorro,cane,개
COW,1,Animals & Pets,गाय,ఆవు,牛,vaca,vache,kuh,بقرة,牛,корова,vaca,mucca,소
PIG,1,Animals & Pets,सूअर,పంది,猪,cerdo,cochon,schwein,خنزير,豚,свинья,porco,maiale,돼지
BAT,1,Animals & Pets,चमगादड़,గబ్బిలం,蝙蝠,murciélago,chauve-souris,fledermaus,خفاش,蝙蝠,летучая мышь,morcego,pipistrello,박쥐
RAT,1,Animals & Pets,चूहा,ఎలుక,老鼠,rata,rat,ratte,جرذ,鼠,крыса,rato,ratto,쥐
RAM,1,Animals & Pets,मेंढ़ा,పొట్టేలు,公羊,carnero,bélier,widder,كبش,雄羊,баран,carneiro,ariete,숫양
OWL,1,Animals & Pets,उल्लू,గుడ్లగూబ,猫头鹰,búho,hibou,eule,بومة,梟,сова,coruja,gufo,올빼미
SOW,1,Animals & Pets,मादा सूअर,ఆడపంది,母猪,cerda,truie,sau,خنزيرة,雌豚,свиноматка,porca,scrofa,암퇘지
COD,1,Animals & Pets,कॉड मछली,కాడ్ చేప,鳕鱼,bacalao,morue,kabeljau,قد,鱈,треска,bacalhau,merluzzo,대구
SKY,2,Nature & Elements,आकाश,ఆకాశం,天空,cielo,ciel,himmel,سماء,空,небо,céu,cielo,하늘
SUN,2,Nature & Elements,सूरज,సూర్యుడు,太阳,sol,soleil,sonne,شمس,太陽,солнце,sol,sole,태양
SEA,2,Nature & Elements,समुद्र,సముద్రం,大海,mar,mer,meer,بحر,海,море,mar,mare,바다
AIR,2,Nature & Elements,हवा,గాలి,空气,aire,air,luft,هواء,空気,воздух,ar,aria,공기
DEW,2,Nature & Elements,ओस,మంచు బిందువు,露水,rocío,rosée,tau,ندى,露,роса,orvalho,rugiada,이슬
OAK,2,Nature & Elements,शाहबलूत,ఓక్ చెట్టు,橡树,roble,chêne,eiche,بلوط,オーク,дуб,carvalho,quercia,참나무
EAR,2,Nature & Elements,कान,చెవి,耳朵,oreja,oreille,ohr,أذن,耳,ухо,orelha,orecchio,귀
RAY,2,Nature & Elements,किरण,కిరణం,光线,rayo,rayon,strahl,شعاع,光線,луч,raio,raggio,광선
YAK,2,Nature & Elements,याक,జడలబర్రె,牦牛,yak,yack,yak,ياك,ヤク,як,aque,yak,야크
RED,2,Nature & Elements,लाल,ఎరుపు,红色,rojo,rouge,rot,أحمر,赤,красный,vermelho,rosso,빨간색
BLUE,3,Colors & Crafts,नीला,నీలం,蓝色,azul,bleu,blau,أزرق,青,синий,azul,blu,파란색
PINK,3,Colors & Crafts,गुलाबी,గులాబీ రంగు,粉色,rosa,rose,rosa,وردي,ピンク,розовый,rosa,rosa,분홍색
GOLD,3,Colors & Crafts,सोना,బంగారం,金子,oro,or,gold,ذهب,金,золото,ouro,oro,금
INK,3,Colors & Crafts,स्याही,సిరా,墨水,tinta,encre,tinte,حبر,インク,чернила,tinta,inchiostro,먹물
PIN,3,Colors & Crafts,आलपिन,సూది,别针,alfiler,épingle,stecknadel,دبوس,ピン,булавка,alfinete,spillo,핀
BIN,3,Colors & Crafts,पात्र,డబ్బా,储物箱,cubo,bac,behälter,صندوق,容器,контейнер,recipiente,cestino,상자
TIN,3,Colors & Crafts,टिन,తగరము,锡,estaño,étain,zinn,قصدير,スズ,олово,estanho,stagno,주석
LIP,3,Colors & Crafts,होंठ,పెదవి,嘴唇,labio,lèvre,lippe,شفة,唇,губа,lábio,labbro,입술
KIN,3,Colors & Crafts,रिश्तेदार,బంధువులు,亲属,familia,famille,verwandtschaft,أقارب,親族,родня,parentes,parentela,친척
BED,3,Colors & Crafts,बिस्तर,మంచం,床,cama,lit,bett,سرير,ベッド,кровать,cama,letto,침대
KNIT,3,Colors & Crafts,बुनना,అల్లడం,编织,tejer,tricoter,stricken,حياكة,編む,вязать,tricotar,lavorare a maglia,뜨개질하다
MILK,4,Kitchen & Foods,दूध,పాలు,牛奶,leche,lait,milch,حليب,牛乳,молоко,leite,latte,우유
RICE,4,Kitchen & Foods,चावल,బియ్యం,米饭,arroz,riz,reis,أرز,米,рис,arroz,riso,쌀
MEAT,4,Kitchen & Foods,मांस,మాంసం,肉,carne,viande,fleisch,لحم,肉,мясо,carne,carne,고기
BEAN,4,Kitchen & Foods,सेम,చిక్కుడు,豆,frijol,haricot,bohne,فاصوليا,豆,фасоль,feijão,fagiolo,콩
CAKE,4,Kitchen & Foods,मिष्ठान्न केक,కేక్,蛋糕,pastel,gâteau,kuchen,كعكة,ケーキ,торт,bolo,torta,케이크
SOUP,4,Kitchen & Foods,सूप,సూప్,汤,sopa,soupe,suppe,حساء,スープ,суп,sopa,zuppa,수프
EAT,4,Kitchen & Foods,खाना,తినడం,吃,comer,manger,essen,أكل,食べる,есть,comer,mangiare,먹다
TEA,4,Kitchen & Foods,चाय,తేనీరు,茶,té,thé,tee,شاي,お茶,чай,chá,tè,차
